2024-10-29 08:41:49,071: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.2, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n02')
2024-10-29 08:41:49,168: Number of GPUs available: 8
2024-10-29 08:41:50,445: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 08:41:50,445: positive weight: 36.9080
2024-10-29 08:42:50,443: Final Training Loss: 0.6579, Accuracy: 0.9637
2024-10-29 08:43:45,362: Final Training Loss: 0.6467, Accuracy: 0.9588
2024-10-29 08:44:43,009: Final Training Loss: 0.6352, Accuracy: 0.9427
2024-10-29 08:45:42,104: Final Training Loss: 0.6163, Accuracy: 0.9421
2024-10-29 08:46:42,882: Final Training Loss: 0.6201, Accuracy: 0.9191
2024-10-29 08:47:45,431: Final Training Loss: 0.6036, Accuracy: 0.9163
2024-10-29 08:48:50,343: Final Training Loss: 0.5871, Accuracy: 0.9002
2024-10-29 08:49:55,491: Final Training Loss: 0.5821, Accuracy: 0.8901
2024-10-29 08:51:03,926: Final Training Loss: 0.5615, Accuracy: 0.8887
2024-10-29 08:52:11,451: Final Training Loss: 0.5477, Accuracy: 0.8816
2024-10-29 08:52:28,482: Test Loss: 0.6946, Accuracy: 0.7265
2024-10-29 08:52:28,482: DP:0.06, EO:0.25
2024-10-29 08:52:46,296: Step [20/699], Loss D: 1.3103, Loss G: -0.7125
2024-10-29 08:52:49,872: Step [40/699], Loss D: 2.5019, Loss G: -0.2232
2024-10-29 08:52:53,492: Step [60/699], Loss D: 0.4457, Loss G: -0.5091
2024-10-29 08:52:57,004: Step [80/699], Loss D: 0.6620, Loss G: -0.0463
2024-10-29 08:53:00,583: Step [100/699], Loss D: 0.5192, Loss G: -0.6073
2024-10-29 08:53:04,170: Step [120/699], Loss D: 0.8236, Loss G: -0.4860
2024-10-29 08:53:07,673: Step [140/699], Loss D: 0.7514, Loss G: -0.7797
2024-10-29 08:53:11,265: Step [160/699], Loss D: 0.4926, Loss G: -0.7900
2024-10-29 08:53:14,809: Step [180/699], Loss D: 0.9358, Loss G: -0.4667
2024-10-29 08:53:18,364: Step [200/699], Loss D: 0.4660, Loss G: 0.0340
2024-10-29 08:53:21,923: Step [220/699], Loss D: 1.2695, Loss G: -0.7047
2024-10-29 08:53:25,413: Step [240/699], Loss D: 0.4827, Loss G: 0.0984
2024-10-29 08:53:29,000: Step [260/699], Loss D: 0.6679, Loss G: -0.2270
2024-10-29 08:53:32,553: Step [280/699], Loss D: 0.3901, Loss G: -0.5881
2024-10-29 08:53:36,164: Step [300/699], Loss D: 0.6196, Loss G: -0.2948
2024-10-29 08:53:39,742: Step [320/699], Loss D: 0.6610, Loss G: -0.0200
2024-10-29 08:53:43,242: Step [340/699], Loss D: 0.7685, Loss G: 0.1970
2024-10-29 08:53:46,826: Step [360/699], Loss D: 0.6261, Loss G: -0.0008
2024-10-29 08:53:50,371: Step [380/699], Loss D: 0.5417, Loss G: 0.0370
2024-10-29 08:53:54,093: Step [400/699], Loss D: 0.4074, Loss G: -0.1732
2024-10-29 08:53:57,718: Step [420/699], Loss D: 0.3076, Loss G: -0.5411
2024-10-29 08:54:01,200: Step [440/699], Loss D: 1.1603, Loss G: -0.2500
2024-10-29 08:54:04,787: Step [460/699], Loss D: 0.6797, Loss G: 0.0172
2024-10-29 08:54:08,349: Step [480/699], Loss D: 0.4849, Loss G: -0.5176
2024-10-29 08:54:11,917: Step [500/699], Loss D: 0.3436, Loss G: 0.3307
2024-10-29 08:54:15,490: Step [520/699], Loss D: 0.6195, Loss G: -0.2246
