2024-10-29 11:00:54,344: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.3, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n03')
2024-10-29 11:00:54,443: Number of GPUs available: 8
2024-10-29 11:00:55,733: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 11:00:55,734: positive weight: 36.9080
2024-10-29 11:01:55,374: Final Training Loss: 0.6587, Accuracy: 0.9564
2024-10-29 11:02:55,596: Final Training Loss: 0.6504, Accuracy: 0.9681
2024-10-29 11:03:59,480: Final Training Loss: 0.6435, Accuracy: 0.9568
2024-10-29 11:05:07,469: Final Training Loss: 0.6308, Accuracy: 0.9558
2024-10-29 11:06:18,891: Final Training Loss: 0.6218, Accuracy: 0.9396
2024-10-29 11:07:33,011: Final Training Loss: 0.6173, Accuracy: 0.9318
2024-10-29 11:08:52,414: Final Training Loss: 0.6072, Accuracy: 0.9119
2024-10-29 11:10:12,921: Final Training Loss: 0.5924, Accuracy: 0.9055
2024-10-29 11:11:37,170: Final Training Loss: 0.5714, Accuracy: 0.8975
2024-10-29 11:13:10,700: Final Training Loss: 0.5576, Accuracy: 0.8844
2024-10-29 11:13:45,292: Test Loss: 0.7860, Accuracy: 0.7650, F1: 0.0351, AUC: 0.4209
2024-10-29 11:13:45,293: DP:0.03, EO:0.25
2024-10-29 11:14:23,912: Step [20/699], Loss D: 1.9009, Loss G: -0.5104
2024-10-29 11:14:31,322: Step [40/699], Loss D: 0.9452, Loss G: -0.6288
2024-10-29 11:14:38,191: Step [60/699], Loss D: 0.8569, Loss G: -0.9377
2024-10-29 11:14:44,153: Step [80/699], Loss D: 0.6645, Loss G: 0.2898
2024-10-29 11:14:49,444: Step [100/699], Loss D: 0.6637, Loss G: -0.7154
2024-10-29 11:14:55,187: Step [120/699], Loss D: 0.6524, Loss G: -0.7659
2024-10-29 11:15:00,698: Step [140/699], Loss D: 0.5838, Loss G: -0.1035
2024-10-29 11:15:07,265: Step [160/699], Loss D: 0.3864, Loss G: -0.2876
2024-10-29 11:15:12,928: Step [180/699], Loss D: 0.7172, Loss G: -0.4288
2024-10-29 11:15:17,534: Step [200/699], Loss D: 0.8941, Loss G: -0.5564
2024-10-29 11:15:22,671: Step [220/699], Loss D: 0.5960, Loss G: -0.0330
2024-10-29 11:15:30,256: Step [240/699], Loss D: 0.5391, Loss G: -0.3674
2024-10-29 11:15:37,534: Step [260/699], Loss D: 0.4524, Loss G: -0.2594
2024-10-29 11:15:45,012: Step [280/699], Loss D: 0.6441, Loss G: -0.4035
2024-10-29 11:15:52,835: Step [300/699], Loss D: 0.5531, Loss G: -0.5578
2024-10-29 11:16:01,883: Step [320/699], Loss D: 0.6264, Loss G: -0.6619
2024-10-29 11:16:10,833: Step [340/699], Loss D: 0.7025, Loss G: 0.2102
2024-10-29 11:16:19,951: Step [360/699], Loss D: 0.8938, Loss G: 0.0761
2024-10-29 11:16:29,131: Step [380/699], Loss D: 0.3107, Loss G: 0.0610
2024-10-29 11:16:36,709: Step [400/699], Loss D: 0.6239, Loss G: -0.3917
2024-10-29 11:16:44,003: Step [420/699], Loss D: 1.1510, Loss G: -0.5022
2024-10-29 11:16:52,738: Step [440/699], Loss D: 0.5638, Loss G: -0.1981
2024-10-29 11:17:01,128: Step [460/699], Loss D: 0.7065, Loss G: -0.0193
2024-10-29 11:17:09,741: Step [480/699], Loss D: 0.6163, Loss G: -0.5390
2024-10-29 11:17:18,099: Step [500/699], Loss D: 0.6743, Loss G: -0.5904
2024-10-29 11:17:26,714: Step [520/699], Loss D: 0.6107, Loss G: -0.0929
2024-10-29 11:17:35,401: Step [540/699], Loss D: 1.2670, Loss G: -0.7910
2024-10-29 11:17:44,078: Step [560/699], Loss D: 0.8112, Loss G: -0.3516
2024-10-29 11:17:53,188: Step [580/699], Loss D: 0.4211, Loss G: -0.3070
2024-10-29 11:18:00,573: Step [600/699], Loss D: 0.5448, Loss G: 0.1427
2024-10-29 11:18:07,863: Step [620/699], Loss D: 0.4278, Loss G: -0.8419
2024-10-29 11:18:16,744: Step [640/699], Loss D: 0.6692, Loss G: -0.9716
2024-10-29 11:18:25,534: Step [660/699], Loss D: 0.8625, Loss G: -0.8545
2024-10-29 11:18:34,381: Step [680/699], Loss D: 0.4477, Loss G: 0.4434
2024-10-29 11:19:20,857: Test Loss: 0.8125, Accuracy: 0.8632, F1: 0.0000, AUC: 0.3097
2024-10-29 11:19:20,858: DP:0.02, EO:0.00
2024-10-29 11:19:54,359: Step [20/699], Loss D: 0.5162, Loss G: -0.2355
2024-10-29 11:19:59,809: Step [40/699], Loss D: 0.6062, Loss G: -0.6821
2024-10-29 11:20:05,357: Step [60/699], Loss D: 0.4769, Loss G: -0.1895
2024-10-29 11:20:11,076: Step [80/699], Loss D: 0.5015, Loss G: -0.6579
2024-10-29 11:20:16,128: Step [100/699], Loss D: 0.5484, Loss G: -0.1297
2024-10-29 11:20:19,900: Step [120/699], Loss D: 0.3151, Loss G: 0.2329
2024-10-29 11:20:23,778: Step [140/699], Loss D: 0.4357, Loss G: -0.4575
2024-10-29 11:20:28,088: Step [160/699], Loss D: 0.4096, Loss G: 0.0213
2024-10-29 11:20:31,912: Step [180/699], Loss D: 0.6118, Loss G: -0.5417
2024-10-29 11:20:35,679: Step [200/699], Loss D: 0.6620, Loss G: -0.1817
2024-10-29 11:20:39,374: Step [220/699], Loss D: 0.6046, Loss G: 0.1541
2024-10-29 11:20:43,007: Step [240/699], Loss D: 0.8936, Loss G: -0.0024
2024-10-29 11:20:46,599: Step [260/699], Loss D: 0.5127, Loss G: -0.5267
2024-10-29 11:20:50,374: Step [280/699], Loss D: 0.7357, Loss G: -0.4333
2024-10-29 11:20:54,108: Step [300/699], Loss D: 0.4719, Loss G: -0.4454
2024-10-29 11:20:57,888: Step [320/699], Loss D: 0.7920, Loss G: -0.1135
2024-10-29 11:21:01,693: Step [340/699], Loss D: 0.5040, Loss G: -0.3853
2024-10-29 11:21:05,489: Step [360/699], Loss D: 0.4678, Loss G: -0.1866
2024-10-29 11:21:09,156: Step [380/699], Loss D: 0.6321, Loss G: -0.5117
2024-10-29 11:21:12,911: Step [400/699], Loss D: 0.3627, Loss G: -0.4608
2024-10-29 11:21:16,598: Step [420/699], Loss D: 0.4827, Loss G: -1.0016
2024-10-29 11:21:20,379: Step [440/699], Loss D: 0.6544, Loss G: -0.0560
2024-10-29 11:21:24,174: Step [460/699], Loss D: 0.4890, Loss G: 0.2859
2024-10-29 11:21:27,747: Step [480/699], Loss D: 0.4289, Loss G: -0.3192
2024-10-29 11:21:31,572: Step [500/699], Loss D: 0.4889, Loss G: -0.4780
2024-10-29 11:21:35,411: Step [520/699], Loss D: 0.5381, Loss G: 0.1240
2024-10-29 11:21:39,113: Step [540/699], Loss D: 0.5651, Loss G: -0.0841
2024-10-29 11:21:42,827: Step [560/699], Loss D: 0.5247, Loss G: -0.0587
2024-10-29 11:21:46,521: Step [580/699], Loss D: 0.5878, Loss G: -0.0808
2024-10-29 11:21:50,201: Step [600/699], Loss D: 0.6334, Loss G: 0.0381
2024-10-29 11:21:53,905: Step [620/699], Loss D: 0.4767, Loss G: -0.0449
2024-10-29 11:21:57,645: Step [640/699], Loss D: 0.5547, Loss G: -0.3453
2024-10-29 11:22:01,440: Step [660/699], Loss D: 0.5150, Loss G: -0.4737
2024-10-29 11:22:05,167: Step [680/699], Loss D: 0.3999, Loss G: -0.0747
2024-10-29 11:22:45,678: Test Loss: 0.7412, Accuracy: 0.6966, F1: 0.0274, AUC: 0.4159
2024-10-29 11:22:45,678: DP:0.06, EO:0.25
2024-10-29 11:23:20,638: Step [20/699], Loss D: 0.3723, Loss G: -0.7414
2024-10-29 11:23:25,537: Step [40/699], Loss D: 0.5409, Loss G: -0.5805
2024-10-29 11:23:31,516: Step [60/699], Loss D: 0.4578, Loss G: -0.4787
2024-10-29 11:23:37,272: Step [80/699], Loss D: 0.4535, Loss G: -0.0076
2024-10-29 11:23:43,219: Step [100/699], Loss D: 0.3749, Loss G: 0.5902
2024-10-29 11:23:49,614: Step [120/699], Loss D: 0.5409, Loss G: -0.1131
2024-10-29 11:23:55,975: Step [140/699], Loss D: 0.4259, Loss G: -0.1717
2024-10-29 11:24:01,593: Step [160/699], Loss D: 0.4323, Loss G: -0.3689
